logPriorICSE,-0.35667494393873245,logPriorVLDB,-1.2039728043259361
Word,Count,CountICSE,CountVLDB,CountDocICSE,CountDocVLDB,logCondProbICSE,logCondProbVLDB
APISynth,1,1,0,1,0,-11.459893818418422,-11.33866731138583
APIlevel,2,2,0,2,0,-11.054428710310258,-11.33866731138583
APIs,4,3,1,3,1,-10.766746637858477,-10.645520130825885
APL2M,1,1,0,1,0,-11.459893818418422,-11.33866731138583
APL2Ma,1,1,0,1,0,-11.459893818418422,-11.33866731138583
APPLICATIONS,2,2,0,2,0,-11.054428710310258,-11.33866731138583
APTL,1,1,0,1,0,-11.459893818418422,-11.33866731138583
APTLY,1,1,0,1,0,-11.459893818418422,-11.33866731138583
AQAX,1,0,1,0,1,-12.153040998978367,-10.645520130825885
AQWA,1,0,1,0,1,-12.153040998978367,-10.645520130825885
AQuery,1,0,1,0,1,-12.153040998978367,-10.645520130825885
AR,1,1,0,1,0,-11.459893818418422,-11.33866731138583
ARC,1,1,0,1,0,-11.459893818418422,-11.33866731138583
ARCHITECTURE,1,0,1,0,1,-12.153040998978367,-10.645520130825885
ARIEL,1,0,1,0,1,-12.153040998978367,-10.645520130825885
ARIES,3,2,1,2,1,-11.054428710310258,-10.645520130825885
ARIESKVL,1,0,1,0,1,-12.153040998978367,-10.645520130825885
ARIESNT,1,0,1,0,1,-12.153040998978367,-10.645520130825885
ARM,2,2,0,2,0,-11.054428710310258,-11.33866731138583
ARMbased,1,1,0,1,0,-11.459893818418422,-11.33866731138583
ARQ,1,1,0,1,0,-11.459893818418422,-11.33866731138583
ART,1,1,0,1,0,-11.459893818418422,-11.33866731138583
ARTMAP,1,1,0,1,0,-11.459893818418422,-11.33866731138583
ARUBA,1,0,1,0,1,-12.153040998978367,-10.645520130825885
ARchive,1,1,0,1,0,-11.459893818418422,-11.33866731138583
AReNA,1,0,1,0,1,-12.153040998978367,-10.645520130825885
ARminer,1,1,0,1,0,-11.459893818418422,-11.33866731138583
ASADAL,1,1,0,1,0,-11.459893818418422,-11.33866731138583
ASCORE,1,1,0,1,0,-11.459893818418422,-11.33866731138583
ASDF,1,1,0,1,0,-11.459893818418422,-11.33866731138583
ASE,1,0,1,0,1,-12.153040998978367,-10.645520130825885
ASIC,5,5,0,5,0,-10.361281529750313,-11.33866731138583
ASM,1,1,0,1,0,-11.459893818418422,-11.33866731138583
ASPECTa,1,1,0,1,0,-11.459893818418422,-11.33866731138583
ASPNETbased,1,1,0,1,0,-11.459893818418422,-11.33866731138583
ASSL,4,4,0,4,0,-10.543603086544268,-11.33866731138583
ASSURE,1,1,0,1,0,-11.459893818418422,-11.33866731138583
AST,9,9,0,9,0,-9.850455905984322,-11.33866731138583
ASTRAL,2,2,0,2,0,-11.054428710310258,-11.33866731138583
ASTbased,1,1,0,1,0,-11.459893818418422,-11.33866731138583
ASW,1,1,0,1,0,-11.459893818418422,-11.33866731138583
ASYCUDA,1,1,0,1,0,-11.459893818418422,-11.33866731138583
AStorage,1,1,0,1,0,-11.459893818418422,-11.33866731138583
AT,1,1,0,1,0,-11.459893818418422,-11.33866731138583
AT91RM9200,1,1,0,1,0,-11.459893818418422,-11.33866731138583
ATAM,3,3,0,3,0,-10.766746637858477,-11.33866731138583
ATL,1,1,0,1,0,-11.459893818418422,-11.33866731138583
ATLASAn,1,1,0,1,0,-11.459893818418422,-11.33866731138583
ATOPSS,1,0,1,0,1,-12.153040998978367,-10.645520130825885
AUModel,1,1,0,1,0,-11.459893818418422,-11.33866731138583
AURA,1,1,0,1,0,-11.459893818418422,-11.33866731138583
AUTOMATED,1,0,1,0,1,-12.153040998978367,-10.645520130825885
AUTOSAR,1,1,0,1,0,-11.459893818418422,-11.33866731138583
AVCTP,1,1,0,1,0,-11.459893818418422,-11.33866731138583
AWESOME,2,0,2,0,2,-12.153040998978367,-10.24005502271772
AWGN,1,1,0,1,0,-11.459893818418422,-11.33866731138583
AWSOM,1,0,1,0,1,-12.153040998978367,-10.645520130825885
AWT,2,2,0,2,0,-11.054428710310258,-11.33866731138583
Abduction,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Ability,6,6,0,5,0,-10.207130849923054,-11.33866731138583
Abnormal,2,2,0,2,0,-11.054428710310258,-11.33866731138583
Abnormality,1,1,0,1,0,-11.459893818418422,-11.33866731138583
About,4,2,2,2,2,-11.054428710310258,-10.24005502271772
Absorptive,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Abstact,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Abstract,50,29,21,29,21,-8.751843617316213,-8.247624858027514
Abstracted,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Abstracting,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Abstraction,5,3,2,3,2,-10.766746637858477,-10.24005502271772
Abstractions,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Academia,2,2,0,2,0,-11.054428710310258,-11.33866731138583
Academic,2,2,0,2,0,-11.054428710310258,-11.33866731138583
Accelerated,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Accelerating,4,2,2,2,2,-11.054428710310258,-10.24005502271772
Acceleration,3,2,1,2,1,-11.054428710310258,-10.645520130825885
Accelerator,2,1,1,1,1,-11.459893818418422,-10.645520130825885
Accelerometer,4,4,0,4,0,-10.543603086544268,-11.33866731138583
Accelerometers,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Acceptable,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Acceptance,3,3,0,3,0,-10.766746637858477,-11.33866731138583
Access,41,9,32,9,32,-9.850455905984322,-7.842159749919349
Accessibility,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Accessing,5,0,5,0,5,-12.153040998978367,-9.546907842157774
Accommodating,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Accordion,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Accounting,3,2,1,2,1,-11.054428710310258,-10.645520130825885
Accreditation,2,2,0,2,0,-11.054428710310258,-11.33866731138583
AccumulationBased,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Accumulator,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Accuracy,3,2,1,2,1,-11.054428710310258,-10.645520130825885
Accurate,6,4,2,4,2,-10.543603086544268,-10.24005502271772
Accurately,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Acer,1,1,0,1,0,-11.459893818418422,-11.33866731138583
Achievable,1,0,1,0,1,-12.153040998978367,-10.645520130825885
Achieve,2,2,0,2,0,-11.054428710310258,-11.33866731138583
